epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,1795.49,0.70072,0.36703,0.97139,0.84589,0.88345,0.92413,0.56424,1.41736,0.7412,1.41785,0.000259748,0.000259748,0.000259748
135,1808.64,0.64361,0.33225,0.92996,0.87331,0.89037,0.92795,0.54822,1.51289,0.75844,1.51372,0.000253024,0.000253024,0.000253024
136,1821.8,0.62854,0.33994,0.93932,0.90341,0.86942,0.92624,0.62044,1.19902,0.71601,1.25887,0.000246363,0.000246363,0.000246363
137,1834.94,0.57761,0.3209,0.91005,0.90173,0.84189,0.93082,0.56179,1.35569,0.77888,1.41041,0.000239766,0.000239766,0.000239766
138,1848.09,0.60596,0.32764,0.92447,0.91669,0.83666,0.93157,0.59512,1.26733,0.74167,1.32234,0.000233234,0.000233234,0.000233234
139,1861.3,0.59508,0.32605,0.89986,0.88045,0.87211,0.92469,0.64215,1.11826,0.68292,1.19001,0.000226769,0.000226769,0.000226769
140,1874.58,0.59147,0.32011,0.9108,0.87364,0.90629,0.90851,0.63401,1.13618,0.68948,1.18897,0.000220372,0.000220372,0.000220372
141,1887.69,0.60162,0.32971,0.91469,0.89599,0.86825,0.90408,0.64704,1.11422,0.68704,1.17924,0.000214046,0.000214046,0.000214046
142,1900.9,0.59043,0.32331,0.90755,0.91343,0.86709,0.90141,0.5783,1.33942,0.7267,1.37366,0.000207792,0.000207792,0.000207792
143,1914.07,0.59002,0.3178,0.91525,0.91341,0.85577,0.9001,0.53671,1.4278,0.78805,1.48354,0.000201611,0.000201611,0.000201611
144,1927.21,0.57696,0.31304,0.90515,0.91811,0.85743,0.91389,0.52512,1.4695,0.80521,1.54051,0.000195505,0.000195505,0.000195505
145,1940.3,0.57813,0.31656,0.91574,0.9137,0.87095,0.92281,0.5594,1.40359,0.77673,1.45091,0.000189475,0.000189475,0.000189475
146,1953.43,0.56188,0.30792,0.8935,0.91097,0.85743,0.92293,0.60475,1.26729,0.7275,1.30448,0.000183523,0.000183523,0.000183523
147,1966.58,0.54258,0.30368,0.89257,0.91018,0.85743,0.91321,0.58048,1.3275,0.73465,1.36146,0.000177651,0.000177651,0.000177651
148,1979.75,0.5474,0.29828,0.89968,0.89508,0.87489,0.93278,0.60983,1.29348,0.71594,1.33613,0.000171859,0.000171859,0.000171859
149,1992.85,0.55926,0.30083,0.90186,0.89218,0.88345,0.91875,0.6111,1.26106,0.69846,1.315,0.000166149,0.000166149,0.000166149
150,2005.98,0.54948,0.2994,0.89829,0.88298,0.88911,0.91886,0.55812,1.39886,0.71195,1.44645,0.000160523,0.000160523,0.000160523
151,2019.12,0.52304,0.29978,0.89072,0.93514,0.86328,0.91975,0.60839,1.26273,0.68015,1.31996,0.000154982,0.000154982,0.000154982
152,2032.3,0.53869,0.29915,0.8869,0.93307,0.86993,0.93113,0.5831,1.32545,0.66979,1.3797,0.000149527,0.000149527,0.000149527
153,2045.43,0.55934,0.29717,0.89927,0.90861,0.89187,0.93047,0.58775,1.32807,0.67447,1.37925,0.000144161,0.000144161,0.000144161
154,2058.6,0.55692,0.30207,0.89822,0.90466,0.88232,0.92302,0.62111,1.21514,0.67529,1.28095,0.000138883,0.000138883,0.000138883
155,2071.9,0.52799,0.28867,0.88738,0.89615,0.86124,0.90629,0.57837,1.33442,0.74066,1.37724,0.000133695,0.000133695,0.000133695
156,2085.32,0.53303,0.30028,0.88596,0.90838,0.84473,0.89845,0.59591,1.28768,0.74699,1.33017,0.000128599,0.000128599,0.000128599
157,2098.72,0.53195,0.29439,0.88854,0.88143,0.88345,0.90194,0.59767,1.26978,0.7573,1.31377,0.000123596,0.000123596,0.000123596
158,2112.54,0.51092,0.29426,0.888,0.91487,0.85113,0.90174,0.57837,1.2854,0.76047,1.33978,0.000118687,0.000118687,0.000118687
159,2126.44,0.5083,0.28281,0.87321,0.92084,0.85642,0.9093,0.58687,1.30164,0.7322,1.36429,0.000113873,0.000113873,0.000113873
160,2140.01,0.50081,0.28525,0.87073,0.92473,0.86566,0.91307,0.59609,1.31564,0.71836,1.39036,0.000109156,0.000109156,0.000109156
161,2153.74,0.50631,0.28363,0.86748,0.92691,0.87928,0.91495,0.59436,1.33282,0.70891,1.40955,0.000104537,0.000104537,0.000104537
162,2167.42,0.50279,0.28199,0.87569,0.92745,0.88006,0.90865,0.60932,1.23586,0.68344,1.32452,0.000100016,0.000100016,0.000100016
163,2181.1,0.49225,0.27076,0.86234,0.88336,0.92117,0.91494,0.59868,1.2588,0.67897,1.34879,9.55951e-05,9.55951e-05,9.55951e-05
164,2194.87,0.49594,0.27833,0.88534,0.89267,0.90136,0.90706,0.60228,1.26801,0.6892,1.35842,9.12754e-05,9.12754e-05,9.12754e-05
